dataset,num_hubs,num_bridges,default_nodes,default_edges,processed_nodes,processed_edges,delta_nodes,delta_edges,default_diameter,default_avg_diameter,processed_diameter,processed_avg_diameter,delta_diameter,delta_avg_diameter,default_max_degree,default_avg_degree,processed_max_degree,processed_avg_degree,delta_max_degree,delta_avg_degree,default_density,processed_density,delta_density,default_node2edge_ratio,processed_node2edge_ratio,delta_node2edge_ratio,processed_hubs_bridges_ratio,normalized_hubs_bridges_ratio
ctu-sap,0,0,5,3,5,3,0,0,2,1.06,2,1.06,0,0.0,3,1.5,3,1.5,0,0.0,0.15,0.15,0.0,1.67,1.67,0.0,,0.0
ctu-satellite,0,32,36,65,36,65,0,0,4,1.9,4,1.9,0,0.0,34,3.61,34,3.61,0,0.0,0.05,0.05,0.0,0.55,0.55,0.0,,0.0
ctu-seznam,0,0,4,3,4,3,0,0,2,1.12,2,1.12,0,0.0,3,1.5,3,1.5,0,0.0,0.25,0.25,0.0,1.33,1.33,0.0,,0.0
ctu-sfscores,0,0,3,2,3,2,0,0,2,0.89,2,0.89,0,0.0,2,1.33,2,1.33,0,0.0,0.33,0.33,0.0,1.5,1.5,0.0,,0.0
ctu-shakespeare,0,1,4,3,4,3,0,0,3,1.25,3,1.25,0,0.0,2,1.5,2,1.5,0,0.0,0.25,0.25,0.0,1.33,1.33,0.0,,0.0
ctu-stats,1,4,8,13,8,16,0,3,3,1.5,3,1.5,0,0.0,10,3.25,12,4.0,2,0.75,0.23,0.29,0.05,0.62,0.5,-0.12,,0.12
ctu-studentloan,0,1,10,9,10,9,0,0,3,1.76,3,1.76,0,0.0,8,1.8,8,1.8,0,0.0,0.1,0.1,0.0,1.11,1.11,0.0,,0.0
ctu-thrombosis,0,0,3,2,3,2,0,0,2,0.89,2,0.89,0,0.0,2,1.33,2,1.33,0,0.0,0.33,0.33,0.0,1.5,1.5,0.0,,0.0
ctu-toxicology,1,0,4,5,3,5,-1,0,2,1.0,1,0.67,-1,-0.33,3,2.5,5,3.33,2,0.83,0.42,0.83,0.42,0.8,0.6,-0.2,1.0,0.25
ctu-tpcc,0,3,9,10,9,10,0,0,4,1.98,4,1.98,0,0.0,3,2.22,3,2.22,0,0.0,0.14,0.14,0.0,0.9,0.9,0.0,,0.0
ctu-tpcd,0,1,8,8,8,8,0,0,4,1.91,4,1.91,0,0.0,3,2.0,3,2.0,0,0.0,0.14,0.14,0.0,1.0,1.0,0.0,,0.0
ctu-tpcds,9,4,24,102,17,576,-7,474,4,1.77,2,1.13,-2,-0.64,22,8.5,140,67.76,118,59.26,0.18,2.12,1.93,0.24,0.03,-0.21,1.29,0.38
ctu-tpch,0,2,8,8,8,8,0,0,4,1.91,4,1.91,0,0.0,3,2.0,3,2.0,0,0.0,0.14,0.14,0.0,1.0,1.0,0.0,,0.0
ctu-triazine,0,0,2,1,2,1,0,0,1,0.5,1,0.5,0,0.0,1,1.0,1,1.0,0,0.0,0.5,0.5,0.0,2.0,2.0,0.0,,0.0
ctu-uwcse,0,2,4,4,4,4,0,0,3,1.25,3,1.25,0,0.0,3,2.0,3,2.0,0,0.0,0.33,0.33,0.0,1.0,1.0,0.0,,0.0
ctu-visualgenome,0,2,6,5,6,5,0,0,4,1.72,4,1.72,0,0.0,3,1.67,3,1.67,0,0.0,0.17,0.17,0.0,1.2,1.2,0.0,,0.0
ctu-voc,0,0,8,7,8,7,0,0,2,1.53,2,1.53,0,0.0,7,1.75,7,1.75,0,0.0,0.12,0.12,0.0,1.14,1.14,0.0,,0.0
ctu-walmart,0,0,4,3,4,3,0,0,3,1.25,3,1.25,0,0.0,2,1.5,2,1.5,0,0.0,0.25,0.25,0.0,1.33,1.33,0.0,,0.0
ctu-webkp,0,1,3,3,3,3,0,0,2,0.89,2,0.89,0,0.0,3,2.0,3,2.0,0,0.0,0.5,0.5,0.0,1.0,1.0,0.0,,0.0
ctu-world,0,0,3,2,3,2,0,0,2,0.89,2,0.89,0,0.0,2,1.33,2,1.33,0,0.0,0.33,0.33,0.0,1.5,1.5,0.0,,0.0
